DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
35;01;88678;42782;913;640;41229;803;0;2110;0;4456;0;16975;0;0;0;0;1711;0;0;7274;0;0;1751;6149;0
35;02;89920;47415;967;616;45832;794;0;1947;0;4555;0;18507;0;0;0;0;1727;0;0;10608;0;0;1935;5759;0
35;03;83924;42231;1105;779;40347;910;0;1464;0;3061;0;15057;0;0;0;0;2003;0;0;8393;0;0;1723;7736;0
35;04;87590;42464;1182;777;40505;1005;0;1356;0;3209;0;14046;0;0;0;0;2086;0;0;7389;0;0;1980;9434;0
35;05;100932;48472;1304;988;46180;1084;0;1276;0;3447;0;13721;0;0;0;0;1974;0;0;13402;0;0;2554;8722;0
35;06;85604;42866;1393;1066;40407;922;0;1354;0;2712;0;12762;0;0;0;0;1465;0;0;9960;0;0;1853;9379;0
35;07;97103;47836;1072;772;45992;958;0;1434;0;2724;0;14989;0;0;0;0;1854;0;0;11757;0;0;2535;9741;0
35;08;79939;38972;747;479;37746;674;0;2101;0;4392;0;15407;0;0;0;0;1401;0;0;7892;0;0;1356;4523;0
36;01;81135;38951;1228;903;36820;777;1655;0;0;2343;0;9610;0;0;0;0;0;0;0;9740;0;0;1791;10904;0
36;02;90595;47821;1629;1188;45004;895;2101;0;0;2525;0;11478;0;0;0;0;0;0;0;12003;0;0;2189;13813;0
37;01;67988;29917;525;394;28998;516;1422;0;0;3411;0;9072;0;0;0;0;0;0;0;7649;0;0;1776;5152;0
37;02;86576;44434;1099;728;42607;667;1856;0;0;3369;0;11155;0;0;0;0;0;0;0;10779;0;0;2585;12196;0
37;03;96606;49358;1416;910;47032;824;2473;0;0;3669;0;12564;0;0;0;0;0;0;0;11804;0;0;3043;12655;0
37;04;89448;43761;1256;799;41706;804;1742;0;0;3173;0;11811;0;0;0;0;0;0;0;10003;0;0;2791;11382;0
37;05;82512;41350;1077;833;39440;617;1363;0;0;2927;0;10036;0;0;0;0;0;0;0;10920;0;0;2654;10923;0
38;01;82792;41774;741;181;40852;314;1370;0;5969;0;0;11818;0;0;0;0;0;0;0;13153;0;987;1321;5920;0
38;02;76526;35078;756;311;34011;597;2754;0;3380;0;0;9411;0;0;0;0;0;0;0;7092;0;651;1188;8938;0
38;03;59579;25918;454;224;25240;377;1609;0;4178;0;0;7472;0;0;0;0;0;0;0;4893;0;503;870;5338;0
38;04;89192;43626;895;417;42314;599;2256;0;3827;0;0;11361;0;0;0;0;0;0;0;11165;0;752;1681;10673;0
38;05;100318;50228;1050;432;48746;663;2597;0;5334;0;0;13306;0;0;0;0;0;0;0;12280;0;861;1982;11723;0
38;06;80785;37568;777;311;36480;426;1243;0;1756;0;0;7469;0;0;0;0;0;0;0;9549;0;559;1601;13877;0
38;07;89987;45356;1216;503;43637;609;2028;0;2441;0;0;9430;0;0;0;0;0;0;0;12351;0;497;1689;14592;0
38;08;76966;37827;900;360;36567;456;1468;0;1953;0;0;8634;0;0;0;0;0;0;0;10240;0;600;1435;11781;0
38;09;95437;47109;1346;448;45315;646;2062;0;3780;0;0;11914;0;0;0;0;0;0;0;12309;0;801;1792;12011;0
38;10;89195;41726;927;407;40392;547;1639;0;2422;0;0;9117;0;0;0;0;0;0;0;10128;0;667;1841;14031;0
39;01;64969;34506;1066;713;32727;411;0;1598;0;1896;0;7995;0;0;0;924;0;1000;0;7749;0;0;2054;9100;0
39;02;55161;27171;840;484;25847;347;0;1210;0;1257;0;5609;0;0;0;738;0;844;0;6206;0;0;1927;7709;0
39;03;68578;36677;1046;706;34925;580;0;2072;0;1241;0;8074;0;0;0;695;0;1076;0;7872;0;0;2136;11179;0
40;01;99618;52057;1320;906;49831;603;0;2032;0;2082;0;16960;548;703;0;0;0;0;0;13142;0;0;2092;11669;0
40;02;108627;55506;1302;1061;53143;637;0;3050;0;2527;0;17590;664;1281;0;0;0;0;0;14239;0;0;2128;11027;0
40;03;95733;54117;1335;1254;51528;653;0;2769;0;1639;0;20033;483;736;0;0;0;0;0;13029;0;0;2007;10179;0
